               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,           0.0075364,           0.0048409,                   0,             0.99993,                   1,               0.995,             0.99472,           0.0011364,            0.003348,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.007371,           0.0046618,                   0,             0.99994,                   1,               0.995,             0.99419,            0.000979,           0.0034802,                   0,            0.006139,            0.006139,            0.006139
                  41,           0.0073381,            0.004665,                   0,             0.99992,                   1,               0.995,             0.99439,            0.001079,           0.0037015,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.007086,           0.0045642,                   0,             0.99994,                   1,               0.995,             0.99397,          0.00098029,           0.0035059,                   0,            0.005941,            0.005941,            0.005941
                  43,           0.0070113,           0.0046603,                   0,             0.99993,                   1,               0.995,             0.99443,          0.00080861,           0.0032106,                   0,            0.005842,            0.005842,            0.005842
                  44,           0.0068089,            0.004482,                   0,             0.99994,                   1,               0.995,             0.99452,          0.00098058,           0.0041292,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.006929,           0.0044754,                   0,             0.99994,                   1,               0.995,             0.99437,           0.0009374,            0.003822,                   0,            0.005644,            0.005644,            0.005644
                  46,           0.0071335,           0.0045134,                   0,             0.99994,                   1,               0.995,             0.99481,          0.00083786,           0.0036683,                   0,            0.005545,            0.005545,            0.005545
                  47,           0.0068176,           0.0044046,                   0,             0.99994,                   1,               0.995,             0.99457,          0.00084693,           0.0036976,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.006611,           0.0042733,                   0,             0.99994,                   1,               0.995,             0.99464,          0.00080351,           0.0032601,                   0,            0.005347,            0.005347,            0.005347
                  49,           0.0065547,           0.0043479,                   0,             0.99994,                   1,               0.995,             0.99475,           0.0007862,           0.0036236,                   0,            0.005248,            0.005248,            0.005248
                  50,           0.0064602,           0.0043088,                   0,             0.99994,                   1,               0.995,             0.99463,          0.00091751,           0.0034936,                   0,            0.005149,            0.005149,            0.005149
                  51,           0.0064187,           0.0042307,                   0,             0.99994,                   1,               0.995,             0.99473,          0.00083434,            0.003983,                   0,             0.00505,             0.00505,             0.00505
                  52,           0.0061009,            0.004187,                   0,             0.99994,                   1,               0.995,             0.99466,          0.00076273,           0.0035358,                   0,            0.004951,            0.004951,            0.004951
                  53,           0.0062278,           0.0041403,                   0,             0.99994,                   1,               0.995,             0.99479,          0.00093397,           0.0040922,                   0,            0.004852,            0.004852,            0.004852
                  54,           0.0061582,            0.004095,                   0,             0.99994,                   1,               0.995,             0.99465,          0.00086183,           0.0030755,                   0,            0.004753,            0.004753,            0.004753
                  55,           0.0059544,           0.0040439,                   0,             0.99995,                   1,               0.995,              0.9945,          0.00081738,           0.0039263,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.00599,           0.0040545,                   0,             0.99994,                   1,               0.995,             0.99468,          0.00076593,           0.0035659,                   0,            0.004555,            0.004555,            0.004555
                  57,           0.0059449,           0.0041241,                   0,             0.99994,                   1,               0.995,              0.9948,          0.00067364,           0.0039823,                   0,            0.004456,            0.004456,            0.004456
                  58,           0.0061151,           0.0039666,                   0,             0.99994,                   1,               0.995,             0.99483,          0.00090391,           0.0036331,                   0,            0.004357,            0.004357,            0.004357
                  59,           0.0058715,           0.0039372,                   0,             0.99994,                   1,               0.995,             0.99468,          0.00069116,           0.0033153,                   0,            0.004258,            0.004258,            0.004258
                  60,           0.0056895,            0.003906,                   0,             0.99994,                   1,               0.995,             0.99476,          0.00082244,           0.0037494,                   0,            0.004159,            0.004159,            0.004159
                  61,           0.0058444,           0.0038549,                   0,              0.9999,                   1,               0.995,             0.99487,           0.0008678,           0.0035584,                   0,             0.00406,             0.00406,             0.00406
                  62,           0.0053842,           0.0038736,                   0,             0.99994,                   1,               0.995,             0.99493,          0.00079285,           0.0034977,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.005436,           0.0038101,                   0,             0.99994,                   1,               0.995,             0.99484,          0.00070523,           0.0040384,                   0,            0.003862,            0.003862,            0.003862
                  64,           0.0054356,           0.0037508,                   0,             0.99994,                   1,               0.995,             0.99485,          0.00069458,           0.0036704,                   0,            0.003763,            0.003763,            0.003763
                  65,           0.0053033,           0.0038531,                   0,             0.99994,                   1,               0.995,             0.99486,          0.00059171,           0.0037451,                   0,            0.003664,            0.003664,            0.003664
                  66,           0.0051745,           0.0037794,                   0,             0.99994,                   1,               0.995,              0.9947,          0.00072414,           0.0034134,                   0,            0.003565,            0.003565,            0.003565
                  67,           0.0051946,           0.0037781,                   0,             0.99994,                   1,               0.995,             0.99471,          0.00065434,           0.0033691,                   0,            0.003466,            0.003466,            0.003466
                  68,           0.0051171,           0.0037891,                   0,             0.99994,                   1,               0.995,             0.99488,            0.000608,            0.004007,                   0,            0.003367,            0.003367,            0.003367
                  69,           0.0050756,           0.0036596,                   0,             0.99994,                   1,               0.995,             0.99476,          0.00067734,           0.0030618,                   0,            0.003268,            0.003268,            0.003268
                  70,           0.0048372,           0.0036164,                   0,             0.99994,                   1,               0.995,             0.99473,           0.0006129,            0.003454,                   0,            0.003169,            0.003169,            0.003169
                  71,           0.0048128,           0.0036992,                   0,             0.99994,                   1,               0.995,             0.99484,          0.00059876,           0.0037398,                   0,             0.00307,             0.00307,             0.00307
                  72,           0.0047923,           0.0035977,                   0,             0.99994,                   1,               0.995,             0.99481,           0.0006299,           0.0038596,                   0,            0.002971,            0.002971,            0.002971
                  73,           0.0046988,           0.0035042,                   0,             0.99994,                   1,               0.995,             0.99481,          0.00068077,            0.003988,                   0,            0.002872,            0.002872,            0.002872
                  74,           0.0045964,           0.0034447,                   0,             0.99994,                   1,               0.995,             0.99475,          0.00059767,           0.0040337,                   0,            0.002773,            0.002773,            0.002773
                  75,           0.0045597,           0.0034299,                   0,             0.99994,                   1,               0.995,             0.99482,          0.00064305,           0.0037675,                   0,            0.002674,            0.002674,            0.002674
                  76,           0.0044961,           0.0034141,                   0,             0.99994,                   1,               0.995,             0.99483,          0.00058629,           0.0039028,                   0,            0.002575,            0.002575,            0.002575
                  77,           0.0044256,           0.0033887,                   0,             0.99994,                   1,               0.995,             0.99488,          0.00071735,           0.0036345,                   0,            0.002476,            0.002476,            0.002476
                  78,           0.0042336,           0.0033229,                   0,             0.99994,                   1,               0.995,             0.99492,          0.00068473,           0.0033479,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.004282,           0.0032389,                   0,             0.99994,                   1,               0.995,             0.99489,          0.00061542,           0.0036218,                   0,            0.002278,            0.002278,            0.002278
                  80,           0.0043718,           0.0032842,                   0,             0.99994,                   1,               0.995,             0.99484,          0.00061613,           0.0041279,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.004098,           0.0032408,                   0,             0.99994,                   1,               0.995,             0.99473,          0.00060456,           0.0042119,                   0,             0.00208,             0.00208,             0.00208
                  82,           0.0040069,           0.0032363,                   0,             0.99994,                   1,               0.995,             0.99473,          0.00058214,           0.0035462,                   0,            0.001981,            0.001981,            0.001981
                  83,           0.0039312,           0.0032034,                   0,             0.99994,                   1,               0.995,              0.9949,          0.00063122,           0.0037583,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.003852,           0.0031861,                   0,             0.99994,                   1,               0.995,             0.99487,          0.00067589,           0.0038845,                   0,            0.001783,            0.001783,            0.001783
